Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,17,577,391,3952,31,7.3,2143,1905,154,24.50%,48,7.60%,39,6.80%,18,105,16.70%,120
Buffalo Bills,17,530,297,2771,12,7,1724,1916,170,28.10%,93,15.40%,51,9.60%,42,186,30.80%,118
Carolina Panthers,17,515,337,3266,26,7.8,1957,1602,192,33.70%,62,10.90%,48,9.30%,39,149,26.10%,106
Chicago Bears,17,477,314,3257,31,8,1934,1685,123,22.60%,46,8.40%,31,6.50%,49,126,23.10%,106
Cincinnati Bengals,17,626,420,4222,26,8.1,3118,2455,173,25.00%,75,10.80%,53,8.50%,42,170,24.50%,108
Cleveland Browns,17,576,367,3439,29,7.4,1800,1912,141,22.10%,59,9.30%,53,9.20%,43,155,24.30%,118
Indianapolis Colts,17,597,390,3980,32,7.7,2323,1848,134,20.20%,37,5.60%,50,8.40%,33,120,18.10%,90
Arizona Cardinals,17,561,367,3645,30,7.4,2317,1784,220,35.20%,61,9.80%,60,10.70%,41,162,25.90%,110
Dallas Cowboys,17,612,364,4049,24,8,2131,2364,198,29.10%,79,11.60%,68,11.10%,41,188,27.60%,106
Denver Broncos,17,562,341,3652,22,8.3,1994,1907,160,25.30%,83,13.10%,45,8.00%,36,164,25.90%,84
Detroit Lions,17,544,359,4160,31,8.7,2458,1896,165,27.30%,65,10.70%,29,5.30%,30,124,20.50%,132
Green Bay Packers,17,603,379,3724,31,8.4,2072,2059,152,22.20%,77,11.30%,51,8.50%,39,167,24.40%,87
Houston Texans,17,546,363,4117,27,8.5,2597,1745,117,19.50%,53,8.80%,39,7.10%,32,124,20.70%,124
Jacksonville Jaguars,17,543,377,3875,24,7.6,2247,1864,190,31.50%,65,10.80%,49,9.00%,32,146,24.20%,130
Kansas City Chiefs,17,610,401,4273,27,7.4,2469,2793,226,33.50%,88,13.00%,59,9.70%,31,178,26.40%,93
Miami Dolphins,17,608,373,3871,23,8,2262,1985,268,39.60%,68,10.00%,77,12.70%,48,193,28.50%,118
Minnesota Vikings,17,626,401,4300,29,8.1,2441,2212,186,26.10%,91,12.70%,45,7.20%,51,187,26.20%,109
New Orleans Saints,17,592,369,3821,20,8.6,2143,1988,148,22.00%,56,8.30%,64,10.80%,46,166,24.70%,108
New England Patriots,17,538,319,3181,21,8.1,2042,1669,147,24.50%,75,12.50%,43,8.00%,36,154,25.60%,95
New York Giants,17,611,402,3839,27,7.3,2120,1919,167,25.00%,59,8.80%,41,6.70%,34,134,20.10%,95
New York Jets,17,587,401,4409,28,8.1,2431,2249,160,24.80%,55,8.50%,50,8.50%,33,138,21.40%,122
Tennessee Titans,17,628,395,4169,24,7.7,2416,2341,150,21.30%,79,11.20%,47,7.50%,43,169,24.00%,94
Philadelphia Eagles,17,589,409,3756,28,6.4,2193,2046,112,17.40%,75,11.60%,51,8.70%,29,155,24.00%,103
Pittsburgh Steelers,17,563,355,3656,24,7.9,2310,2050,176,27.00%,71,10.90%,44,7.80%,55,170,26.10%,125
Las Vegas Raiders,17,606,400,3789,29,8.5,2410,1801,83,12.30%,62,9.20%,68,11.20%,35,165,24.40%,109
Los Angeles Rams,17,625,416,4109,17,7.6,2680,2758,239,33.80%,74,10.50%,37,5.90%,50,161,22.80%,119
Baltimore Ravens,17,621,397,4742,31,8.4,2500,2467,209,31.10%,58,8.60%,62,10.00%,34,154,23.00%,115
Los Angeles Chargers,17,559,357,3761,27,7.9,2060,1928,157,25.10%,68,10.90%,53,9.50%,35,156,25.00%,127
Seattle Seahawks,17,658,443,4513,24,7,2174,2540,161,22.40%,75,10.40%,50,7.60%,34,159,22.10%,113
San Francisco 49ers,17,545,372,3510,25,8.1,2539,2136,143,22.80%,51,8.10%,52,9.50%,48,151,24.10%,99
Tampa Bay Buccaneers,17,680,445,4062,26,7.2,2451,2420,348,45.40%,95,12.40%,77,11.30%,47,219,28.60%,120
Washington Football Team,17,597,400,4333,34,8.6,2714,1805,206,31.00%,68,10.20%,55,9.20%,38,161,24.20%,99
