Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,Kansas City Chiefs,17,435,651,66.8,5062,41,6.3,12,1.8,67,8.1,8.5,12.1,297.8,104.7,26,188,3.8,7.5,7.9,4,4,195.91
2,Tampa Bay Buccaneers,17,499,751,66.4,4586,26,3.5,10,1.3,63,6.3,6.4,9.5,269.8,89.8,22,160,2.8,5.9,6,4,5,80.93
3,Los Angeles Chargers,17,485,711,68.2,4584,26,3.7,10,1.4,55,6.7,6.8,9.9,269.6,93.3,39,207,5.2,6.1,6.2,4,5,74.28
4,Miami Dolphins,17,368,584,63,4511,30,5.1,15,2.6,84,8.2,8,12.9,265.4,95,35,254,5.7,7.3,7.2,2,3,111.98
5,Minnesota Vikings,17,448,672,66.7,4484,30,4.5,15,2.2,66,7.2,7.1,10.8,263.8,93.1,47,334,6.5,6.2,6.1,8,8,109.57
6,Detroit Lions,17,383,588,65.1,4281,29,4.9,7,1.2,81,7.6,8,11.6,251.8,99.3,24,163,3.9,7,7.4,3,3,173.06
7,Cincinnati Bengals,16,418,610,68.5,4240,35,5.7,12,2,60,7.4,7.7,10.8,265,101,44,280,6.7,6.5,6.7,3,4,123.37
8,Buffalo Bills,16,361,574,62.9,4129,35,6.1,14,2.4,98,7.5,7.6,11.9,258.1,95.8,33,162,5.4,6.8,6.9,3,4,132.37
9,Philadelphia Eagles,17,350,536,65.3,4105,25,4.7,9,1.7,78,8.1,8.3,12.5,241.5,99,44,259,7.6,7.1,7.2,1,2,104.06
10,Jacksonville Jaguars,17,394,596,66.1,3959,25,4.2,9,1.5,59,7,7.1,10.5,232.9,93.9,28,189,4.5,6.3,6.5,3,2,111.74
11,Seattle Seahawks,17,399,573,69.6,3934,30,5.2,12,2.1,54,7.5,7.6,10.7,231.4,100,46,348,7.4,6.4,6.5,2,3,69.51
12,Las Vegas Raiders,17,359,586,61.3,3934,28,4.8,17,2.9,60,7.1,6.8,11.6,231.4,86.7,35,248,5.6,6.3,6,4,3,71.68
13,San Francisco 49ers,17,338,512,66,3856,30,5.9,9,1.8,57,7.9,8.3,12,226.8,102.3,31,193,5.7,7.1,7.5,2,2,141.38
14,Dallas Cowboys,17,355,556,63.8,3736,28,5,18,3.2,68,7,6.6,11,219.8,87.9,27,175,4.6,6.4,6,2,4,90.5
15,New York Jets,17,357,627,56.9,3723,15,2.4,14,2.2,79,6.4,5.9,11.3,219,75,42,317,6.3,5.6,5.1,2,3,-30.34
16,New Orleans Saints,17,338,512,66,3692,24,4.7,14,2.7,68,7.8,7.5,11.7,217.2,93.6,38,277,6.9,6.7,6.4,2,2,47.61
17,Green Bay Packers,17,364,563,64.7,3632,27,4.8,12,2.1,63,6.9,6.9,10.7,213.6,91.9,32,258,5.4,6.1,6.1,3,4,54.33
18,Arizona Cardinals,17,433,664,65.2,3626,17,2.6,17,2.6,77,6,5.3,9.2,213.3,79.2,46,340,6.5,5.1,4.5,1,1,-33.98
19,Denver Broncos,17,345,571,60.4,3592,18,3.2,15,2.6,67,7,6.5,11.6,211.3,81.2,63,415,9.9,5.7,5.2,3,3,-10.75
20,New England Patriots,17,358,540,66.3,3536,19,3.5,14,2.6,53,7.1,6.6,10.7,208,87.7,41,279,7.1,6.1,5.7,0,0,20.69
21,Washington Commanders,17,344,554,62.1,3472,24,4.3,16,2.9,75,6.8,6.4,11,204.2,84.7,48,311,8,5.8,5.4,4,3,0.93
22,Cleveland Browns,17,335,540,62,3444,19,3.5,12,2.2,55,6.9,6.6,11.1,202.6,84.9,44,266,7.5,5.9,5.6,2,2,19.89
23,Indianapolis Colts,17,398,604,65.9,3432,17,2.8,20,3.3,49,6.4,5.5,9.7,201.9,79.2,60,422,9,5.2,4.3,5,4,-65.4
24,Pittsburgh Steelers,17,364,571,63.7,3411,12,2.1,14,2.5,57,6.4,5.7,10.1,200.6,78.7,38,250,6.2,5.6,5,3,5,29.27
25,Houston Texans,17,352,579,60.8,3344,20,3.5,19,3.3,58,6.3,5.5,10.3,196.7,76.8,38,298,6.2,5.4,4.7,2,3,-58.31
26,New York Giants,17,346,520,66.5,3157,17,3.3,6,1.2,65,6.6,6.7,9.9,185.7,91.1,49,274,8.6,5.5,5.7,4,5,20.25
27,Los Angeles Rams,17,347,531,65.3,3108,16,3,15,2.8,75,6.6,5.9,10.1,182.8,82.3,59,398,10,5.3,4.7,1,1,-6.31
28,Baltimore Ravens,17,300,488,61.5,3040,19,3.9,13,2.7,75,6.6,6.1,10.7,178.8,82.5,38,162,7.2,5.8,5.4,2,3,-0.04
29,Carolina Panthers,17,267,457,58.4,2996,16,3.5,13,2.8,75,7.1,6.5,12.2,176.2,80.2,36,250,7.3,6.1,5.5,0,1,-18.72
30,Tennessee Titans,17,285,456,62.5,2914,16,3.5,11,2.4,69,7.1,6.7,11.3,171.4,85.3,49,313,9.7,5.8,5.4,,,-9.67
31,Atlanta Falcons,17,257,415,61.9,2699,17,4.1,9,2.2,75,7.1,6.9,11.4,158.8,87.7,37,228,8.2,6,5.8,3,4,28.9
32,Chicago Bears,17,223,377,59.2,2219,19,5,15,4,56,6.9,6.1,11.7,130.5,80.3,58,379,13.3,5.1,4.4,1,2,-64.19
,Avg Team,,362.7,564.7,64.2,3701.2,23.4,4.2,13.1,2.3,67,7,6.8,10.9,218.5,89.1,40.5,268.7,6.7,6.12,5.9,2.6,3.1,47.3
,League Total,,11605,18069,64.2,118438,750,4.2,418,2.3,98,7,6.8,10.9,218.5,89.1,1297,8597,6.7,6.12,5.9,83,98,
,Avg Tm/G,,21.4,33.3,64.2,218.5,1.4,4.2,0.8,2.3,,7,6.8,10.9,218.5,89.1,2.4,15.9,6.7,6.12,5.9,,,
